images,labels
train\peach\peach_027.png,3
train\peach\peach_028.png,3
train\peach\peach_029.png,3
train\peach\peach_030.png,3
train\peach\peach_031.png,3
train\peach\peach_032.png,3
train\peach\peach_033.png,3
train\peach\peach_034.png,3
train\peach\peach_035.png,3
train\peach\peach_036.png,3
train\peach\peach_037.png,3
train\peach\peach_038.png,3
train\peach\peach_039.png,3
train\peach\peach_040.png,3
train\peach\peach_041.png,3
train\peach\peach_042.png,3
train\peach\peach_043.png,3
train\peach\peach_044.png,3
train\peach\peach_045.png,3
train\peach\peach_046.png,3
train\peach\peach_047.png,3
train\peach\peach_048.png,3
train\peach\peach_049.png,3
train\peach\peach_050.png,3
train\peach\peach_051.png,3
train\peach\peach_052.png,3
train\peach\peach_053.png,3
train\peach\peach_054.png,3
train\peach\peach_055.png,3
train\peach\peach_056.png,3
train\peach\peach_057.png,3
train\peach\peach_058.png,3
train\peach\peach_059.png,3
train\peach\peach_060.png,3
train\peach\peach_061.png,3
train\peach\peach_062.png,3
train\peach\peach_063.png,3
train\peach\peach_064.png,3
train\peach\peach_065.png,3
train\peach\peach_066.png,3
train\peach\peach_067.png,3
train\peach\peach_068.png,3
train\peach\peach_069.png,3
train\peach\peach_070.png,3
train\peach\peach_071.png,3
train\peach\peach_072.png,3
train\peach\peach_073.png,3
train\peach\peach_074.png,3
train\peach\peach_075.png,3
train\peach\peach_076.png,3
train\peach\peach_077.png,3
train\peach\peach_078.png,3
train\peach\peach_079.png,3
train\peach\peach_080.png,3
train\peach\peach_081.png,3
train\peach\peach_082.png,3
train\peach\peach_083.png,3
train\peach\peach_084.png,3
train\peach\peach_085.png,3
train\peach\peach_086.png,3
train\peach\peach_087.png,3
train\peach\peach_088.png,3
train\peach\peach_089.png,3
train\peach\peach_090.png,3
train\peach\peach_091.png,3
train\peach\peach_092.png,3
train\peach\peach_093.png,3
train\peach\peach_094.png,3
train\peach\peach_095.png,3
train\peach\peach_096.png,3
train\peach\peach_097.png,3
train\peach\peach_098.png,3
train\peach\peach_099.png,3
train\peach\peach_100.png,3
train\peach\peach_101.png,3
train\peach\peach_102.png,3
train\peach\peach_103.png,3
train\peach\peach_104.png,3
train\peach\peach_105.png,3
train\peach\peach_106.png,3
train\peach\peach_107.png,3
train\peach\peach_108.png,3
train\peach\peach_109.png,3
train\peach\peach_110.png,3
train\peach\peach_111.png,3
train\peach\peach_112.png,3
train\peach\peach_113.png,3
train\peach\peach_114.png,3
