New DNA Log: 2025-03-27 13:41:20
dna_id,parent_dna_id,generation,nbr_total_mutations,max_val_acc,nbr_of_macs,nbr_of_param,nbr_of_epochs
0,-1,0,0,0.9430000185966492,2440960,34826,4
3,0,0,1,0.9639999866485596,2440960,35082,4
2,0,0,1,0.6759999990463257,361216,19466,4
1,0,0,1,0.9480000138282776,2440960,34826,4
4,0,1,1,0.9430000185966492,2903040,41866,4
5,0,1,1,0.8960000276565552,105984,23690,4
6,4,2,2,0.8809999823570251,241472,16010,4
7,4,2,2,0.9570000171661377,2903040,41994,4
8,3,3,2,0.9660000205039978,2502400,96522,4
9,3,3,2,0.9480000138282776,2430720,24842,4
