New DNA Log: 2025-03-30 22:33:22
dna_id,parent_dna_id,generation,nbr_total_mutations,max_val_acc,nbr_of_macs,nbr_of_param,nbr_of_epochs
1,0,0,1,0.7863333225250244,29459712,515178,12
0,-1,0,0,0.8106666803359985,0,0,12
2,0,0,1,0.8023332953453064,34653440,437674,12
8,2,1,2,0.793999969959259,34551184,335330,12
6,0,1,1,0.7723333239555359,29459712,404266,12
3,1,1,2,0.7329999804496765,29459712,515178,12
7,2,1,2,0.8016666769981384,34562804,346960,12
5,0,1,1,0.8076666593551636,31622400,355754,12
4,1,1,2,0.7866666316986084,29459712,515178,12
11,5,2,2,0.8106666803359985,31560704,293930,11
14,7,2,3,0.7709999680519104,34562804,346960,12
13,7,2,3,0.8173333406448364,34562804,346960,12
12,5,2,2,0.8106666803359985,31622400,355754,12
10,0,2,1,0.7820000052452087,28083456,355754,12
9,0,2,1,0.8079999685287476,29803776,306602,12
18,0,3,1,0.737666666507721,24777664,367771,12
19,11,3,3,0.7896666526794434,8553728,290090,12
20,11,3,3,0.7883332967758179,31560704,293802,12
16,0,3,1,0.7749999761581421,18928992,562547,12
15,0,3,1,0.7599999904632568,9725184,355754,12
17,0,3,1,0.7956666350364685,32261376,552362,12
21,15,4,2,0.7393333315849304,7365888,318570,12
26,16,4,2,0.7739999890327454,18996712,630767,11
22,15,4,2,0.7619999647140503,9725184,355754,12
23,15,4,2,0.7536666393280029,9725184,355498,12
24,15,4,2,0.7413333058357239,7021824,306602,12
25,16,4,2,0.7723333239555359,18928992,562547,12
